Number of planted biclusters: 3
Bicluster coverage: 20.0%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


Bicluster #0 (20, 20)
Rows=[4,6,10,15,26,28,31,33,39,43,46,51,52,59,62,67,78,86,87,91], Columns=[0,2,4,8,10,12,18,23,25,26,33,34,36,37,39,46,48,53,54,59], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

X	y0	y2	y4	y8	y10	y12	y18	y23	y25	y26	y33	y34	y36	y37	y39	y46	y48	y53	y54	y59
x78	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x86	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x87	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44
x91	-1.75	-0.89	9.69	-8.67	7.86	-2.2	-7.95	-1.61	1.52	8.87	3.76	-7.37	-5.85	8.92	9.39	-9.16	-0.44	9.48	2.45	9.44

Bicluster #1 (20, 20)
Rows=[0,5,7,8,12,22,25,28,33,38,48,51,60,68,72,75,80,84,85,88], Columns=[1,3,6,7,13,14,16,21,22,28,29,31,32,38,42,43,47,55,56,57], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

X	y1	y3	y6	y7	y13	y14	y16	y21	y22	y28	y29	y31	y32	y38	y42	y43	y47	y55	y56	y57
x0	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x5	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x7	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x8	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x12	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x22	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x25	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x28	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x33	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x38	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x48	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x51	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x60	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x68	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x72	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x75	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x80	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x84	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x85	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76
x88	5.94	2.79	3.01	-6.18	-4.49	2.97	6.89	9.95	-8.3	-4.66	2.29	1.31	-9.67	-8.24	8.47	-1.61	-5.94	-6.05	-0.78	-5.76

Bicluster #2 (20, 20)
Rows=[7,15,30,37,38,42,48,49,55,56,57,59,68,70,79,87,90,94,95,97], Columns=[5,9,11,15,17,19,20,24,27,30,35,40,41,44,45,49,50,51,52,58], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

X	y5	y9	y11	y15	y17	y19	y20	y24	y27	y30	y35	y40	y41	y44	y45	y49	y50	y51	y52	y58
x7	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x15	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x30	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x37	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x38	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x42	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x48	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x49	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x55	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x56	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x57	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x59	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x68	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x70	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x79	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x87	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x90	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x94	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x95	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32
x97	-5.16	4.83	5.11	3.18	5.73	1.59	0.5	-6.95	5.96	-7.68	9.61	-6.59	5.39	-2.76	1.28	0.52	3.5	7.98	-9.59	5.32

