X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59
x10	aa	bb	aa	ee	dd	aa	cc	bb	cc	ee	bb	dd	cc	dd	ee	dd	dd	aa	ee	cc	bb	bb	cc	aa	aa	ee	dd	cc	cc	bb	aa	ee	dd	aa	cc	cc	dd	aa	dd	dd	ee	bb	aa	bb	ee	cc	ee	aa	aa	ee	ee	ee	cc	ee	ee	ee	bb	aa	ee	cc
x11	dd	bb	ee	cc	ee	aa	bb	bb	cc	ee	cc	ee	ee	ee	cc	dd	bb	ee	ee	dd	dd	aa	dd	bb	dd	cc	aa	aa	cc	cc	bb	aa	dd	aa	aa	dd	bb	dd	dd	ee	dd	bb	bb	cc	bb	cc	cc	aa	dd	dd	cc	aa	ee	ee	cc	bb	bb	cc	aa	aa
x12	ee	dd	bb	ee	aa	aa	bb	ee	aa	dd	aa	aa	bb	bb	dd	bb	bb	cc	dd	cc	cc	dd	dd	ee	cc	bb	dd	ee	dd	bb	bb	ee	cc	ee	ee	aa	aa	cc	bb	cc	aa	cc	bb	ee	ee	ee	cc	cc	bb	cc	ee	dd	ee	ee	dd	dd	cc	dd	dd	cc
x13	dd	ee	cc	cc	ee	dd	cc	dd	ee	dd	ee	dd	aa	dd	bb	aa	aa	dd	bb	aa	dd	aa	aa	dd	bb	aa	dd	ee	aa	bb	ee	dd	bb	ee	aa	ee	ee	cc	aa	cc	ee	bb	dd	aa	bb	bb	cc	aa	aa	ee	aa	bb	dd	ee	cc	aa	aa	cc	aa	bb
x14	dd	ee	bb	cc	dd	bb	cc	ee	bb	aa	aa	bb	dd	cc	aa	aa	dd	ee	ee	dd	dd	bb	ee	cc	ee	dd	bb	bb	dd	bb	ee	cc	ee	cc	bb	cc	dd	aa	cc	aa	aa	ee	bb	aa	dd	cc	ee	bb	aa	ee	cc	dd	dd	aa	aa	cc	cc	cc	aa	aa
x15	aa	cc	aa	cc	dd	bb	aa	bb	cc	dd	bb	dd	cc	bb	aa	dd	aa	aa	ee	ee	bb	dd	cc	aa	bb	ee	dd	bb	cc	dd	bb	ee	dd	aa	cc	dd	dd	aa	aa	dd	aa	dd	cc	dd	aa	dd	ee	ee	aa	ee	bb	aa	bb	ee	ee	aa	ee	ee	cc	cc
x16	bb	aa	aa	ee	bb	bb	dd	ee	aa	ee	dd	cc	cc	aa	dd	cc	dd	bb	cc	bb	aa	ee	cc	ee	ee	ee	ee	bb	cc	dd	cc	cc	ee	ee	cc	bb	bb	aa	ee	aa	ee	ee	aa	dd	aa	aa	cc	dd	dd	bb	cc	cc	aa	cc	aa	ee	bb	bb	dd	bb
x17	ee	dd	aa	dd	aa	ee	cc	dd	ee	bb	ee	dd	aa	bb	cc	bb	aa	cc	cc	aa	ee	ee	dd	dd	bb	dd	dd	aa	dd	aa	dd	cc	ee	dd	cc	cc	dd	aa	aa	ee	aa	dd	aa	aa	cc	bb	bb	dd	ee	dd	aa	bb	aa	dd	bb	dd	bb	aa	aa	aa
x18	aa	aa	dd	aa	aa	aa	bb	aa	bb	dd	ee	aa	aa	aa	bb	cc	aa	bb	cc	aa	aa	bb	dd	cc	aa	cc	cc	ee	dd	aa	ee	dd	dd	ee	bb	cc	dd	bb	ee	aa	ee	cc	dd	bb	ee	cc	aa	bb	aa	aa	aa	ee	ee	cc	cc	bb	ee	ee	cc	ee
x19	aa	dd	cc	ee	aa	aa	ee	cc	dd	dd	aa	ee	aa	aa	ee	cc	bb	bb	ee	cc	aa	bb	cc	cc	bb	dd	aa	bb	aa	cc	cc	dd	cc	cc	aa	dd	ee	bb	bb	cc	cc	bb	bb	dd	bb	bb	bb	dd	ee	aa	bb	aa	ee	aa	bb	ee	bb	dd	aa	cc
x20	bb	cc	ee	cc	ee	aa	aa	ee	ee	cc	aa	cc	ee	dd	dd	dd	bb	cc	dd	aa	cc	bb	cc	bb	dd	dd	cc	cc	bb	bb	dd	cc	cc	dd	aa	aa	ee	aa	bb	bb	bb	cc	ee	dd	ee	dd	ee	aa	ee	bb	bb	cc	bb	cc	dd	ee	ee	bb	bb	bb
x21	ee	aa	bb	cc	ee	dd	cc	dd	cc	bb	dd	dd	dd	dd	bb	aa	aa	ee	ee	dd	dd	aa	aa	aa	cc	aa	aa	ee	aa	dd	ee	dd	ee	aa	cc	bb	bb	cc	aa	cc	bb	cc	dd	dd	dd	ee	aa	cc	dd	ee	cc	ee	dd	bb	bb	aa	aa	bb	aa	bb
x22	dd	ee	aa	bb	aa	cc	aa	ee	cc	ee	ee	aa	dd	cc	dd	ee	cc	cc	ee	dd	bb	ee	aa	bb	aa	cc	ee	cc	cc	ee	bb	dd	dd	dd	cc	cc	cc	dd	cc	dd	bb	aa	aa	aa	aa	ee	aa	ee	bb	bb	dd	ee	aa	dd	ee	cc	aa	aa	ee	bb
x23	aa	aa	cc	dd	cc	cc	bb	cc	ee	bb	bb	aa	cc	cc	cc	dd	aa	dd	aa	ee	bb	ee	dd	ee	ee	aa	cc	ee	bb	dd	ee	aa	ee	ee	bb	cc	aa	aa	ee	bb	dd	dd	cc	aa	cc	aa	ee	bb	aa	aa	aa	dd	aa	cc	aa	dd	bb	cc	bb	aa
x24	aa	aa	cc	bb	bb	dd	dd	dd	aa	cc	aa	cc	aa	aa	aa	cc	ee	cc	bb	cc	ee	ee	bb	dd	aa	bb	ee	cc	cc	cc	dd	bb	cc	dd	dd	cc	aa	ee	bb	aa	dd	ee	dd	bb	dd	dd	dd	dd	aa	aa	bb	cc	dd	aa	dd	cc	dd	dd	aa	bb
x25	cc	ee	aa	bb	cc	aa	ee	cc	aa	ee	dd	aa	aa	cc	cc	cc	ee	cc	cc	ee	dd	dd	dd	dd	dd	ee	cc	cc	bb	dd	aa	cc	cc	cc	ee	aa	bb	bb	ee	aa	cc	cc	aa	aa	aa	dd	bb	aa	ee	cc	bb	ee	bb	aa	aa	aa	bb	aa	ee	aa
x26	aa	bb	aa	cc	dd	dd	cc	dd	cc	bb	bb	dd	cc	dd	bb	ee	aa	ee	ee	ee	dd	aa	aa	aa	ee	ee	dd	ee	aa	bb	cc	dd	aa	aa	cc	cc	dd	aa	aa	dd	cc	cc	bb	bb	ee	aa	ee	aa	aa	ee	aa	dd	dd	ee	ee	aa	aa	aa	aa	cc
x27	dd	ee	ee	ee	bb	cc	aa	dd	aa	ee	bb	dd	dd	bb	aa	cc	dd	cc	bb	ee	cc	bb	bb	aa	dd	bb	bb	dd	ee	dd	aa	aa	cc	bb	ee	aa	cc	ee	ee	bb	cc	cc	aa	aa	aa	dd	ee	aa	bb	cc	bb	ee	aa	ee	bb	cc	bb	aa	ee	bb
x28	aa	bb	aa	aa	dd	bb	cc	bb	cc	ee	bb	bb	cc	ee	dd	aa	dd	bb	ee	dd	bb	cc	cc	aa	aa	ee	dd	ee	bb	ee	bb	cc	ee	aa	cc	ee	dd	aa	cc	dd	dd	dd	ee	ee	aa	cc	ee	dd	aa	cc	cc	dd	aa	ee	ee	ee	cc	bb	ee	cc
x29	ee	bb	dd	aa	dd	cc	ee	bb	bb	aa	cc	cc	dd	bb	aa	bb	ee	aa	bb	dd	dd	ee	aa	ee	dd	bb	cc	aa	bb	dd	aa	bb	cc	ee	bb	cc	aa	ee	aa	aa	cc	ee	ee	dd	bb	aa	aa	aa	bb	ee	bb	aa	aa	ee	dd	cc	aa	dd	bb	cc
x30	aa	ee	ee	dd	bb	bb	bb	cc	aa	aa	cc	ee	bb	ee	bb	ee	bb	bb	bb	ee	cc	dd	aa	aa	dd	aa	bb	aa	bb	cc	cc	dd	bb	cc	aa	cc	ee	aa	cc	dd	dd	cc	bb	bb	bb	dd	ee	dd	dd	dd	aa	dd	aa	cc	cc	aa	aa	cc	bb	bb
x31	aa	bb	aa	cc	dd	dd	cc	dd	cc	dd	bb	dd	cc	dd	bb	cc	aa	aa	ee	cc	dd	aa	aa	aa	ee	ee	dd	ee	aa	dd	ee	dd	cc	aa	cc	cc	dd	aa	aa	dd	ee	aa	cc	aa	ee	dd	ee	ee	aa	ee	bb	dd	dd	ee	ee	aa	aa	ee	aa	cc
x32	aa	ee	ee	bb	cc	bb	cc	ee	dd	ee	aa	dd	dd	aa	dd	cc	bb	cc	aa	ee	dd	ee	aa	cc	dd	dd	ee	ee	aa	dd	aa	cc	cc	cc	dd	aa	bb	bb	dd	bb	cc	cc	aa	aa	aa	dd	aa	aa	ee	ee	bb	ee	aa	ee	ee	aa	ee	aa	cc	aa
x33	aa	bb	aa	cc	dd	dd	cc	dd	cc	dd	bb	dd	cc	dd	bb	ee	aa	cc	ee	aa	dd	aa	aa	aa	bb	ee	dd	ee	aa	aa	dd	dd	ee	aa	cc	aa	dd	aa	aa	dd	aa	cc	ee	aa	bb	dd	ee	cc	aa	ee	cc	aa	dd	ee	ee	aa	aa	dd	aa	cc
x34	aa	dd	bb	cc	cc	cc	dd	ee	bb	bb	cc	aa	bb	dd	aa	aa	aa	bb	aa	ee	dd	ee	aa	dd	bb	bb	dd	bb	bb	cc	dd	bb	dd	ee	dd	ee	ee	ee	dd	dd	cc	cc	bb	dd	cc	bb	aa	dd	aa	dd	cc	ee	aa	ee	aa	aa	cc	aa	bb	bb
x35	ee	bb	cc	aa	dd	cc	ee	ee	cc	cc	aa	bb	dd	ee	bb	aa	ee	aa	cc	bb	cc	bb	aa	bb	ee	bb	cc	bb	ee	dd	cc	bb	cc	ee	bb	aa	dd	dd	cc	cc	cc	bb	dd	dd	dd	bb	ee	cc	ee	cc	ee	ee	dd	cc	dd	cc	aa	dd	aa	dd
x36	bb	ee	dd	aa	dd	cc	dd	cc	ee	dd	dd	aa	ee	ee	aa	dd	cc	aa	aa	cc	cc	aa	cc	aa	dd	bb	ee	ee	aa	cc	bb	bb	ee	ee	ee	aa	aa	bb	cc	dd	dd	dd	aa	ee	aa	cc	bb	cc	bb	cc	aa	bb	dd	bb	aa	cc	bb	ee	ee	aa
x37	aa	dd	cc	bb	cc	bb	cc	ee	dd	bb	aa	aa	aa	bb	bb	ee	cc	cc	bb	bb	cc	cc	aa	ee	bb	aa	bb	aa	dd	aa	aa	ee	aa	ee	aa	ee	dd	dd	dd	cc	cc	bb	ee	dd	ee	aa	bb	bb	cc	bb	cc	aa	dd	dd	aa	ee	dd	cc	bb	bb
x38	aa	aa	ee	ee	ee	bb	cc	dd	bb	bb	bb	aa	aa	bb	aa	aa	bb	cc	cc	dd	bb	cc	bb	ee	ee	ee	aa	aa	bb	aa	cc	cc	bb	dd	aa	cc	bb	cc	aa	cc	dd	bb	bb	cc	aa	dd	bb	bb	bb	cc	dd	ee	dd	aa	ee	aa	dd	dd	ee	aa
x39	aa	ee	aa	ee	dd	bb	dd	ee	cc	ee	bb	cc	cc	cc	cc	cc	ee	cc	ee	ee	aa	aa	ee	aa	dd	ee	dd	aa	bb	dd	aa	ee	cc	aa	cc	aa	dd	aa	aa	dd	cc	cc	aa	aa	aa	dd	ee	aa	aa	ee	bb	ee	ee	ee	ee	bb	cc	aa	dd	cc
x40	ee	cc	bb	aa	aa	aa	dd	bb	ee	aa	aa	aa	cc	bb	cc	cc	bb	aa	bb	aa	cc	ee	bb	aa	dd	cc	aa	ee	bb	ee	dd	aa	aa	aa	ee	dd	dd	dd	bb	cc	bb	bb	aa	cc	aa	dd	ee	aa	bb	aa	ee	bb	bb	bb	dd	bb	aa	aa	dd	aa
x41	bb	ee	bb	cc	aa	dd	cc	dd	aa	ee	bb	dd	bb	dd	bb	cc	aa	cc	cc	ee	dd	aa	aa	ee	dd	bb	ee	ee	aa	dd	aa	dd	cc	dd	aa	aa	bb	cc	aa	ee	cc	cc	aa	aa	aa	dd	bb	aa	aa	ee	bb	ee	dd	ee	aa	aa	aa	aa	aa	cc
x42	bb	ee	aa	aa	aa	ee	cc	dd	cc	cc	dd	bb	cc	ee	dd	bb	cc	ee	dd	bb	dd	ee	ee	cc	bb	aa	dd	ee	ee	bb	dd	ee	bb	ee	bb	dd	cc	dd	bb	dd	cc	aa	cc	dd	bb	cc	aa	cc	dd	aa	bb	cc	bb	bb	aa	cc	bb	ee	dd	cc
x43	aa	ee	aa	cc	dd	ee	bb	bb	cc	bb	bb	ee	cc	ee	bb	bb	cc	dd	ee	ee	bb	cc	dd	aa	cc	ee	dd	dd	ee	ee	dd	bb	ee	aa	cc	ee	dd	aa	dd	dd	aa	ee	aa	aa	cc	ee	ee	aa	aa	cc	dd	ee	cc	ee	ee	bb	aa	cc	bb	cc
x44	ee	cc	bb	dd	cc	aa	ee	dd	bb	bb	ee	bb	cc	bb	cc	bb	ee	aa	dd	dd	ee	dd	cc	ee	dd	ee	cc	dd	ee	dd	cc	ee	cc	ee	ee	bb	cc	ee	cc	cc	cc	ee	ee	dd	aa	ee	bb	bb	bb	dd	dd	dd	cc	dd	dd	dd	aa	cc	dd	aa
x45	cc	cc	dd	aa	bb	bb	aa	bb	aa	dd	dd	bb	ee	cc	bb	ee	cc	aa	dd	bb	aa	ee	dd	bb	ee	ee	aa	cc	dd	dd	bb	aa	ee	cc	bb	dd	bb	dd	bb	aa	dd	aa	bb	ee	dd	ee	cc	ee	dd	cc	aa	ee	dd	cc	bb	aa	aa	dd	bb	ee
x46	aa	cc	aa	ee	dd	aa	bb	cc	cc	aa	bb	ee	cc	dd	dd	bb	aa	ee	ee	aa	aa	ee	ee	aa	aa	ee	dd	cc	bb	dd	cc	ee	bb	aa	cc	bb	dd	aa	cc	dd	bb	bb	aa	bb	cc	cc	ee	bb	aa	aa	cc	cc	cc	ee	ee	aa	ee	bb	bb	cc
x47	ee	dd	bb	cc	aa	dd	cc	dd	dd	cc	bb	dd	bb	dd	bb	ee	aa	aa	aa	ee	dd	aa	aa	bb	cc	aa	aa	ee	aa	cc	bb	dd	aa	bb	dd	aa	bb	aa	aa	dd	dd	aa	dd	bb	cc	ee	dd	cc	aa	ee	ee	aa	dd	ee	aa	aa	aa	cc	aa	aa
x48	ee	aa	dd	bb	cc	dd	bb	aa	ee	ee	bb	aa	dd	dd	aa	dd	bb	dd	bb	bb	bb	dd	aa	aa	ee	cc	ee	dd	dd	bb	bb	dd	aa	ee	aa	bb	aa	cc	bb	aa	bb	cc	dd	dd	dd	aa	dd	cc	ee	cc	cc	bb	aa	dd	ee	bb	aa	ee	aa	ee
x49	bb	bb	ee	cc	dd	dd	cc	dd	cc	bb	ee	dd	bb	dd	bb	cc	aa	dd	aa	aa	dd	aa	aa	ee	aa	bb	ee	ee	aa	cc	dd	dd	aa	cc	cc	cc	ee	ee	aa	dd	cc	aa	cc	aa	dd	aa	ee	aa	aa	ee	dd	ee	dd	ee	dd	aa	aa	aa	aa	cc
x50	bb	aa	dd	ee	cc	bb	cc	bb	dd	cc	aa	cc	ee	dd	bb	bb	ee	dd	bb	bb	cc	ee	aa	ee	aa	dd	bb	dd	dd	dd	aa	aa	dd	aa	bb	cc	ee	ee	cc	aa	aa	ee	dd	bb	aa	ee	bb	bb	aa	bb	dd	dd	aa	ee	dd	dd	ee	cc	aa	ee
x51	aa	bb	aa	cc	dd	ee	aa	aa	cc	ee	bb	aa	cc	dd	aa	aa	aa	dd	ee	aa	ee	bb	aa	aa	cc	ee	dd	ee	bb	cc	bb	bb	bb	aa	cc	aa	dd	aa	bb	dd	bb	dd	bb	aa	cc	aa	ee	ee	aa	cc	aa	aa	dd	ee	ee	bb	bb	dd	aa	cc
x52	aa	ee	aa	cc	dd	dd	cc	dd	cc	ee	bb	dd	cc	dd	bb	aa	aa	dd	ee	dd	dd	aa	aa	aa	bb	ee	dd	ee	aa	aa	cc	dd	bb	aa	cc	dd	dd	aa	aa	dd	bb	bb	ee	bb	ee	dd	ee	cc	aa	ee	ee	ee	dd	ee	ee	aa	aa	cc	aa	cc
x53	dd	cc	ee	cc	ee	ee	cc	dd	bb	ee	aa	cc	cc	dd	cc	dd	bb	dd	aa	dd	ee	aa	aa	aa	dd	bb	cc	cc	bb	bb	aa	cc	aa	bb	bb	dd	bb	cc	aa	cc	bb	ee	bb	aa	cc	aa	ee	ee	ee	ee	cc	bb	bb	bb	cc	cc	ee	bb	dd	ee
x54	dd	ee	dd	aa	dd	aa	dd	dd	cc	ee	bb	bb	dd	bb	aa	ee	cc	bb	cc	dd	aa	dd	ee	cc	bb	cc	cc	bb	cc	dd	dd	aa	ee	aa	bb	ee	bb	cc	aa	cc	dd	ee	dd	cc	aa	dd	bb	ee	ee	dd	cc	aa	aa	cc	aa	ee	ee	aa	dd	ee
x55	bb	bb	ee	dd	bb	ee	ee	cc	ee	aa	bb	bb	bb	bb	ee	aa	dd	aa	bb	aa	bb	dd	bb	cc	ee	aa	ee	cc	cc	bb	aa	dd	ee	aa	bb	cc	aa	dd	cc	cc	aa	bb	dd	aa	dd	bb	ee	ee	dd	bb	dd	ee	ee	ee	cc	dd	bb	bb	dd	aa
x56	dd	ee	bb	dd	cc	aa	ee	ee	cc	aa	bb	bb	bb	aa	ee	cc	ee	bb	ee	cc	bb	cc	cc	aa	bb	bb	cc	ee	aa	ee	aa	cc	bb	bb	ee	ee	cc	bb	dd	dd	aa	ee	dd	bb	ee	dd	ee	cc	aa	cc	cc	ee	aa	aa	bb	ee	ee	aa	bb	bb
x57	aa	aa	dd	ee	dd	bb	bb	ee	bb	cc	dd	bb	ee	bb	bb	bb	cc	dd	cc	dd	cc	bb	aa	dd	bb	ee	dd	cc	aa	bb	dd	cc	aa	aa	ee	bb	cc	aa	ee	ee	cc	bb	cc	cc	ee	bb	dd	bb	cc	dd	aa	ee	dd	cc	ee	cc	ee	cc	bb	ee
x58	cc	bb	dd	bb	aa	aa	ee	bb	dd	cc	cc	cc	aa	cc	aa	ee	dd	cc	aa	bb	dd	cc	bb	aa	ee	ee	dd	cc	ee	bb	ee	ee	aa	bb	aa	cc	bb	ee	bb	ee	aa	ee	aa	bb	cc	aa	dd	ee	ee	cc	bb	ee	ee	bb	bb	cc	ee	dd	cc	bb
x59	aa	bb	aa	cc	dd	ee	cc	ee	cc	bb	bb	dd	cc	dd	cc	bb	aa	cc	ee	aa	bb	bb	ee	aa	aa	ee	dd	aa	aa	ee	cc	ee	dd	aa	cc	bb	dd	aa	cc	dd	aa	ee	bb	bb	cc	aa	ee	cc	aa	bb	aa	aa	bb	ee	ee	aa	bb	dd	ee	cc
x60	ee	dd	ee	ee	bb	ee	aa	bb	cc	ee	cc	cc	ee	cc	cc	cc	ee	aa	cc	cc	dd	aa	ee	ee	aa	ee	bb	ee	dd	cc	aa	ee	ee	ee	cc	ee	cc	aa	bb	ee	dd	dd	aa	aa	ee	dd	dd	ee	aa	dd	aa	dd	dd	dd	dd	dd	dd	ee	cc	ee
x61	dd	cc	bb	bb	cc	cc	dd	ee	bb	dd	bb	bb	bb	bb	cc	ee	ee	cc	bb	dd	bb	bb	ee	aa	dd	ee	cc	dd	bb	dd	aa	bb	aa	aa	bb	cc	ee	dd	bb	bb	cc	bb	aa	dd	bb	ee	ee	ee	ee	aa	aa	dd	ee	ee	ee	ee	cc	cc	bb	dd
x62	aa	ee	aa	cc	dd	dd	cc	dd	cc	ee	bb	dd	cc	dd	bb	cc	aa	cc	ee	ee	dd	aa	aa	aa	dd	ee	dd	ee	aa	dd	aa	dd	cc	aa	cc	aa	dd	aa	aa	dd	cc	cc	aa	aa	aa	dd	ee	aa	aa	ee	bb	ee	dd	ee	ee	aa	aa	aa	aa	cc
x63	bb	dd	ee	cc	cc	dd	cc	dd	aa	dd	cc	dd	cc	dd	bb	cc	aa	dd	aa	dd	dd	aa	aa	bb	bb	cc	bb	ee	aa	bb	dd	dd	aa	bb	ee	cc	aa	ee	aa	ee	dd	bb	bb	cc	dd	dd	dd	cc	cc	ee	cc	aa	dd	bb	aa	aa	aa	aa	aa	ee
x64	aa	bb	aa	ee	bb	cc	aa	dd	dd	bb	cc	dd	bb	dd	cc	bb	dd	aa	dd	bb	aa	dd	ee	cc	cc	cc	ee	aa	dd	ee	aa	aa	ee	ee	dd	dd	cc	cc	dd	aa	cc	cc	aa	ee	ee	dd	cc	bb	bb	ee	cc	dd	cc	bb	dd	ee	aa	bb	aa	aa
x65	cc	dd	ee	dd	bb	bb	cc	bb	dd	aa	cc	aa	ee	ee	dd	dd	ee	dd	cc	aa	bb	dd	cc	dd	cc	dd	ee	cc	aa	dd	bb	dd	aa	bb	cc	ee	ee	cc	cc	cc	cc	aa	ee	cc	bb	cc	ee	dd	bb	bb	dd	cc	ee	ee	cc	cc	aa	dd	ee	bb
x66	bb	aa	ee	ee	aa	bb	cc	bb	ee	dd	cc	dd	bb	bb	ee	dd	cc	cc	bb	ee	bb	bb	ee	ee	bb	ee	aa	ee	ee	dd	ee	cc	bb	dd	aa	ee	bb	ee	aa	dd	cc	ee	cc	ee	ee	aa	bb	bb	aa	ee	bb	cc	cc	cc	cc	aa	ee	ee	cc	bb
x67	aa	cc	aa	cc	dd	dd	cc	dd	cc	cc	bb	dd	cc	dd	bb	aa	aa	bb	ee	ee	dd	aa	aa	aa	cc	ee	dd	ee	aa	cc	ee	dd	ee	aa	cc	cc	dd	aa	aa	dd	bb	ee	bb	cc	bb	aa	ee	ee	aa	ee	cc	dd	dd	ee	ee	aa	aa	aa	aa	cc
x68	aa	ee	aa	cc	cc	dd	cc	dd	bb	ee	aa	dd	cc	dd	bb	cc	aa	cc	ee	ee	dd	aa	aa	bb	dd	cc	bb	ee	aa	dd	aa	dd	cc	bb	dd	aa	aa	cc	aa	cc	cc	cc	aa	aa	aa	dd	cc	aa	ee	ee	bb	ee	dd	aa	bb	aa	aa	aa	aa	cc
x69	ee	ee	cc	dd	dd	bb	ee	ee	cc	ee	dd	bb	ee	ee	ee	cc	ee	cc	cc	ee	cc	dd	aa	aa	dd	dd	dd	bb	cc	dd	aa	ee	cc	cc	bb	aa	aa	bb	dd	bb	cc	cc	aa	aa	aa	dd	bb	aa	aa	aa	bb	ee	aa	aa	dd	ee	bb	aa	cc	bb
x70	aa	cc	aa	aa	aa	cc	dd	aa	bb	bb	cc	bb	aa	aa	bb	bb	ee	bb	bb	cc	ee	dd	aa	dd	cc	ee	dd	bb	aa	ee	aa	bb	cc	cc	ee	cc	bb	ee	dd	aa	bb	ee	bb	bb	bb	ee	cc	ee	ee	bb	cc	aa	cc	bb	aa	aa	bb	cc	aa	aa
x71	bb	ee	dd	cc	bb	aa	ee	aa	ee	dd	cc	cc	ee	ee	dd	dd	ee	cc	cc	ee	dd	ee	ee	bb	aa	aa	dd	ee	cc	aa	dd	cc	cc	cc	dd	ee	aa	aa	ee	ee	aa	dd	dd	ee	aa	aa	ee	aa	aa	ee	bb	cc	bb	ee	dd	cc	cc	cc	bb	dd
x72	cc	ee	bb	bb	bb	cc	cc	dd	aa	dd	dd	cc	ee	dd	cc	aa	cc	bb	bb	bb	aa	ee	bb	cc	dd	ee	aa	cc	ee	aa	aa	aa	aa	bb	ee	aa	cc	ee	bb	dd	ee	dd	aa	bb	aa	aa	ee	cc	ee	bb	dd	aa	dd	cc	ee	aa	aa	dd	cc	dd
x73	aa	ee	aa	cc	aa	dd	cc	dd	ee	ee	aa	dd	cc	dd	bb	cc	aa	cc	cc	ee	dd	aa	aa	bb	dd	ee	bb	ee	aa	dd	aa	dd	cc	bb	dd	aa	dd	bb	aa	aa	cc	cc	aa	aa	aa	dd	bb	aa	ee	ee	bb	ee	dd	ee	bb	aa	aa	aa	aa	bb
