X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59
x10	-1.75	2.78	-0.89	-0.21	9.69	6.88	2.86	-6.71	-8.67	4.83	7.86	1.43	-2.2	-8.59	-7.86	6.98	7.13	-1.06	-7.95	-3.91	-7.81	-1.17	-1.16	-1.61	-6.41	1.52	8.87	-3.31	7.5	2.87	-7.77	5.78	-6.44	3.76	-7.37	-4.29	-5.85	8.92	-0.18	9.39	5.35	-7.69	-4.41	3.65	5.38	5.42	-9.16	-9.91	-0.44	5.63	0.1	6.6	5.6	9.48	2.45	-8.4	8.09	2.46	2	9.44
x11	2.82	7.55	0.03	-0.4	-5.6	6.85	1.38	4.84	-8.81	8.6	-7.08	2.91	5.07	-3.54	1.63	-8.84	-0.81	-1.4	-5.85	-4.88	-5.37	-1.21	-4.22	0.77	-7.33	-3.17	5.76	-8.74	-7.83	3.86	3.31	-6.13	-4.69	-5.47	-6.06	4.04	-2.26	8.39	0.05	-2.63	9.14	-4.39	-8.72	7.34	8.98	-1.56	0.59	-2.95	8.87	9.18	-0.08	6.52	7.62	7.82	-4.09	-6.44	8.23	-1.99	-9.53	5.91
x12	-3.28	5.94	8.92	2.79	-6.46	5.17	3.01	-6.18	2.23	-7.9	-3.59	8.71	4.88	-4.49	2.97	-2.42	6.89	-7.63	5.06	-6.56	1.48	9.95	-8.3	8.77	9.97	-1.83	-1.43	9.6	-4.66	2.29	6.19	1.31	-9.67	-3.83	7.4	0.78	7.76	6.04	-8.24	3.48	1.88	-8.49	8.47	-1.61	-3.18	-4.02	-2.64	-5.94	3.11	-7.94	-2.44	8.04	-7.59	-5.96	3.62	-6.05	-0.78	-5.76	9.19	4.08
x13	5.58	-2.92	5.64	3.42	7.11	8.1	-3.99	-5.79	-4.7	4.03	-1.43	5.92	6.25	4.66	9.13	-9.06	-9.16	9.65	-1.95	-1.19	3.12	-8.78	7.66	4.32	3.13	3.49	4.14	-1.01	5.23	-8.31	8.5	-8.76	-0.09	9.66	0.28	-0.35	2.68	-8.25	-5.43	5.9	-2.88	-3.17	-2.19	-0.92	0.75	6.07	-8.65	-8.43	-7.69	-6.23	-6.99	-1.91	-3.13	1.21	6.16	4.26	-8.9	6.85	3.78	8.72
x14	5.55	3.29	-9.71	3.6	2.61	1.37	-1.75	2.39	-0.37	4.54	8.46	-8.71	4.97	-6.76	-7.38	-9.91	1.52	7.98	5.53	2.63	6.92	2.59	0.42	-7.29	2.85	-5.74	5.22	1.41	-3.59	6.16	0.56	4.37	-3.87	-0.15	0.52	-6.48	-7.67	9.84	-3.6	-3.46	6.78	0.72	0.64	-0.12	0.41	8.27	2.98	-4.06	-0.69	0.67	4.27	-6.21	-0.87	2.89	4.9	-5.95	-4.17	8.36	-6.22	-6.69
x15	-1.75	6.83	-0.89	-4.69	9.69	-5.16	-8.04	-8.81	-8.67	4.83	7.86	5.11	-2.2	-9.27	-7.66	3.18	-9.66	5.73	-7.95	1.59	0.5	4.01	6.02	-1.61	-6.95	1.52	8.87	5.96	-2.56	4.84	-7.68	3.03	9.79	3.76	-7.37	9.61	-5.85	8.92	8	9.39	-6.59	5.39	-5.47	-7.59	-2.76	1.28	-9.16	5.72	-0.44	0.52	3.5	7.98	-9.59	9.48	2.45	5.18	8.11	2.28	5.32	9.44
x16	7.44	-4.14	2.38	-4.47	8.17	7.21	-7.09	-6.24	0.46	-4.94	-8.65	-2.93	-9.42	5.54	-3.61	5.47	1.91	1.4	-3.59	5.35	-1.81	9.53	-9.67	3.57	3.57	3.94	0.51	-6.31	9.53	9.92	-3.83	4.4	0.5	-0.64	9.66	8.36	-0.07	4.53	8.64	1.12	-3.75	8.27	7.05	-5.28	-5.67	-7.63	-4.62	8.03	-7.76	2.43	6.13	-3.23	5.27	-2.32	4.7	-9.48	9.73	-2.72	7.41	-9.43
x17	-2.67	-9.4	-1.17	-6.67	-1.94	8.67	8.69	-3.1	3.71	-3.95	-5.15	5.21	7.52	-1.87	3.58	3.65	6.29	7.63	0.66	2.81	-9.56	-4.35	7.91	-6.89	-5.09	7.9	-1.85	1.58	-0.99	-5.71	-0.97	-5.19	7.08	1.98	-9.07	6.79	-6.66	-4.45	-2.49	9.11	-5.93	-4.11	-1.2	2.33	-1.68	9.88	6.21	-8.02	4.3	-3.62	6.33	0.38	-7.36	1.26	6.39	-3.54	0.26	-6.18	-2.31	-0.34
x18	-1.27	-9.89	-4.35	-8.96	9.76	-5.06	-4.91	5.3	6.9	-6.39	-2.58	0.4	-2.38	-3.2	3.09	8.17	-7.64	7.66	-3.17	-0.97	8.87	-1.08	5.96	6.45	8.53	-0.53	2.73	-7.14	-0.63	-5.01	-9.51	-2.42	5.27	5.11	0.52	9.59	-5.08	-9.06	-8.63	-6.81	5.35	-9.03	5.74	2.83	4.87	0.89	1.56	-4.85	-2.01	3.4	-7.07	0.67	1.24	-2.25	-5.27	-4.54	-7.44	-4.34	-0.18	-6.07
x19	-0.59	0.04	-7.73	7.94	1.41	6.24	-8.63	4.5	1.27	1.5	-8.14	4.62	5.03	7.77	-6.45	-0.75	7.02	-4.65	0.15	-5.28	-1.9	-9.36	-8.39	-0.21	6.49	9.54	-3.44	9.06	0.11	-9.58	-7.39	3.52	6.07	-5.1	0.68	-2.17	-1.1	-6.65	-3.1	-3.67	-7.74	-7.3	0.34	-5.38	0.69	-1.15	8.42	2.45	-2.19	-6.79	2.82	4.6	5.1	3.4	-1.44	1.66	1.55	2.11	-3.75	-0.3
x20	8.74	-5.29	3.27	9.41	-2.18	-3.91	-6.32	8.69	5.8	-9.43	-1.7	0.16	-3.42	-5.43	-3.11	-4.83	-0.8	1.3	2.22	-0.66	0.28	-1.01	2.36	1.1	0.83	-0	2.09	-5.66	8.31	-3.62	-3.44	-0.91	4.31	9.89	1.52	-0.07	5.24	8.86	-7.1	1.02	-1.05	2.65	-4.24	-1.57	-6.18	-4.32	7.53	-3.86	-1.76	7.05	3.81	0.1	-1.36	-0.51	-3.65	-3.62	1.52	-8.06	-7.86	-5.85
x21	-8.35	-6.62	0.42	-8.18	-7.77	-7.11	9.84	5.66	-4.64	-9.54	-7.95	4.22	1.45	-3.7	-0.04	-1.11	4.94	2.52	-1.17	-8.56	9.99	0.5	-3.14	-7.65	-4.95	-0.52	7.97	0.76	7.72	-2.26	4.26	-3.99	2.54	6.2	-2.02	-6.16	-6.38	6.23	-6.27	6.05	0.95	-1.65	-9.74	-8.66	5.06	6.52	8.56	-2.5	7.93	4	-2.42	9.96	9.8	1.11	2.54	0.29	-8.52	2.41	-8.09	9.99
x22	-0.75	5.94	1.74	2.79	8.61	8.88	3.01	-6.18	6.1	-3.06	-1.21	-3.98	6.49	-4.49	2.97	-6.81	6.89	-3.01	1.09	-5.16	3.44	9.95	-8.3	-9.49	-1.11	-2.36	7.99	7.75	-4.66	2.29	6.35	1.31	-9.67	-1.71	0.93	-4.63	-8.34	9.92	-8.24	-9.02	7.33	8.89	8.47	-1.61	-3.55	-3.82	5.25	-5.94	-2.47	-4.86	-1.98	4	-3.81	-5.37	-1.25	-6.05	-0.78	-5.76	8.9	-7.34
x23	-8.01	-2.15	1.95	7.99	9.26	8.28	2.96	-8.37	-4.39	-8.61	-1.29	6.52	-5.33	0.51	-1.76	8.58	-1.86	7.46	-4.29	-6.98	-3.05	3.81	3.35	-8.14	-1.43	-0.8	-3.13	1.2	5.75	2.73	-6.98	-4.95	5.52	-9.77	-5.27	2.84	0.11	-9.7	-6.64	-7.69	1.4	4.76	9.12	6.08	9.37	-4.24	1.33	-9.11	1.55	0.76	7.99	-8.37	-4.84	-0.79	0.68	-1.27	6.81	-9.68	5.29	-2.54
x24	5.37	9.94	1.59	9.99	-7.02	-3.64	-4.52	7.24	-3.68	-9.96	-3.6	-3.49	5.85	-0.17	9.69	2.91	3.98	-9.98	8.47	-2.08	-4.83	-3.48	3.01	6.89	-9.67	7.86	-3.24	8.48	6.15	7.66	7.96	4.2	-4.15	8.37	3.01	3.35	-8.05	-6.6	-6.34	-0.01	-5.84	4.38	-5.88	-7.6	-4.3	3.38	-4.37	-7.33	9.88	6.42	-3.16	-5.8	-4.33	3.41	5.9	8.37	5.57	-7.45	7	8.3
x25	-8.12	5.94	2.57	2.79	-1.75	6.73	3.01	-6.18	9	-5.1	0.64	8.57	-2.14	-4.49	2.97	9.71	6.89	8.29	-6.28	-3.46	4.71	9.95	-8.3	-0.71	5.51	6	-6.41	-6.8	-4.66	2.29	1.69	1.31	-9.67	-6.18	2.35	6.58	-9.54	0.06	-8.24	5.78	0.87	2.22	8.47	-1.61	-0.35	4.13	-1.41	-5.94	-0.48	-6.82	-9.6	3.16	1.86	4.17	2.31	-6.05	-0.78	-5.76	-4.96	0.2
x26	-1.75	-4.79	-0.89	9.98	9.69	-6.83	-3.42	-2.69	-8.67	0.22	7.86	3.74	-2.2	8.55	-2.43	1.39	-8.85	4.88	-7.95	8.53	8.93	-4.58	9.72	-1.61	9.36	1.52	8.87	1.17	8.89	5.26	3.87	-2.83	-8.61	3.76	-7.37	-0.09	-5.85	8.92	3.09	9.39	4.24	7.33	8.33	-8.66	-8.82	-8.95	-9.16	-7.52	-0.44	-6.26	5.29	7.18	-1.09	9.48	2.45	-9.36	6.09	-8.2	-3.84	9.44
x27	-0.58	-3.22	-2.72	8.62	8.23	-4.52	-1.67	-1.71	-2.67	2.98	-9.45	4.21	3.82	-9.25	3.78	-9.05	-6.53	-6.14	2.09	2.16	-0.86	6.94	9.91	2.81	9.65	8.24	9.5	4.85	5.27	-3.28	-1.34	4.73	-3.79	0.23	-0.08	-1.28	9.25	-0.98	-7.88	1.83	4.13	8.05	-6.3	-0.17	6.22	-5.86	3.56	-9.88	-5.11	9.49	-0.61	-2.86	7.95	1.8	6.42	0.34	-8.27	-6.95	-0.12	9.03
x28	-1.75	5.94	-0.89	2.79	9.69	3.85	3.01	-6.18	-8.67	3.92	7.86	-6.3	-2.2	-4.49	2.97	-2.85	6.89	0.68	-7.95	-1.03	-5.57	9.95	-8.3	-1.61	-6.72	1.52	8.87	-4.46	-4.66	2.29	-1.31	1.31	-9.67	3.76	-7.37	5.09	-5.85	8.92	-8.24	9.39	6.35	-4.97	8.47	-1.61	9.23	6.3	-9.16	-5.94	-0.44	-3.95	-9.25	-2.47	3.85	9.48	2.45	-6.05	-0.78	-5.76	8.18	9.44
x29	1.63	-9.3	-9.12	-9.81	7.95	1.72	-8.98	-0.53	-7.37	0.62	3.91	-1.75	7.29	0.2	8.96	-7.37	-8.9	8.37	-5.29	0.63	9.27	-4.72	-8.36	4.28	4.08	-7	-5.88	-5.82	6.85	7.77	3.91	-8.53	1.56	0.27	-8.14	-8.23	2.2	-1.59	-3.01	-1.6	5	8.66	3.22	-1.89	4	6.94	-7.57	1.45	-6.28	-1.7	9.72	2.23	6.4	-4.35	-8.07	5.46	2.82	2.09	3.48	-7.98
x30	-4.48	9.08	-4.92	9.17	-8.86	-5.16	2.98	-9.71	1.31	4.83	-5.3	5.11	6.29	-7.49	2.66	3.18	2.7	5.73	6.79	1.59	0.5	-9.2	4.67	4.3	-6.95	7.6	6.49	5.96	4.78	-9.82	-7.68	4.45	4.94	0.57	-2.77	9.61	2.26	-3.53	-6.75	-6.02	-6.59	5.39	3.02	9.07	-2.76	1.28	8.07	-3.82	8.76	0.52	3.5	7.98	-9.59	-8.38	5.61	-4.67	9.5	0.82	5.32	7.6
x31	-1.75	3.45	-0.89	4.45	9.69	-2.16	-6.34	6.97	-8.67	-3.39	7.86	-8.81	-2.2	1.13	-0.36	6.02	-8.74	-0.57	-7.95	9.97	4.66	8.93	-7.89	-1.61	-8.01	1.52	8.87	7.58	-4.23	5.49	-9.87	-1.25	6.65	3.76	-7.37	-9.35	-5.85	8.92	-1.56	9.39	7.93	6.61	-2.46	-7.49	5.23	3.78	-9.16	-5.76	-0.44	-1.48	3.62	7.42	2.19	9.48	2.45	-2.35	-3.17	5.81	-0.52	9.44
x32	7.01	9.54	-7	7.65	7.89	0.35	4.79	5.16	-8.63	-6.38	-5.01	0.56	-2.58	6.25	-9.19	-7.93	-1.05	-2.73	-7.2	-3.56	4.5	4.14	9.18	9.98	5.12	-1.81	-3.01	6.99	9.38	-6.67	3.12	7.16	-1.82	-2.68	-2.56	-8.05	6.47	2.76	6.69	2.8	2.1	-3.63	-6.49	8.45	4.25	-0.88	-2.26	7.81	3.2	-2.32	8.53	-4.24	-8.6	7.61	5.72	4.2	-8.32	3.11	-4.24	-1.71
x33	-1.75	5.94	-0.89	2.79	9.69	-7.27	3.01	-6.18	-8.67	-5.68	7.86	-6.03	-2.2	-4.49	2.97	-1.29	6.89	-5.94	-7.95	-6.51	8.22	9.95	-8.3	-1.61	-5.17	1.52	8.87	3.4	-4.66	2.29	4.39	1.31	-9.67	3.76	-7.37	1.35	-5.85	8.92	-8.24	9.39	-9.19	-2.44	8.47	-1.61	-4.75	9.63	-9.16	-5.94	-0.44	6.75	-5.05	-4.84	-7.03	9.48	2.45	-6.05	-0.78	-5.76	0.66	9.44
x34	-7.65	6.07	8.59	3.23	-8.4	8.32	-5.22	7.29	2.88	-4.06	3.5	6.3	0.45	-9.66	-8.22	-7.55	4	5.4	-9.75	3.58	4	-4.72	-5.43	-9.48	3.26	7.66	-9.87	1.69	8.48	8.97	4.13	9.88	-4.97	6.07	0.08	-1.82	6.71	-0.97	9.44	-3.95	-2.26	3.74	-7.31	-5.21	-1.33	-0.52	-2.18	-7.86	-9.88	6.85	-1.93	0.08	-1.37	4.4	2.72	-3.19	7.51	8.37	4.96	-5.8
x35	2.15	9.6	-1.28	5.38	4.16	3.7	3.32	-6.25	-8.52	6.5	-1.52	4.13	-7.31	-4.88	-4.37	-0.39	3.02	-2.65	-8.51	-6.39	-3.4	6.32	9.22	-4.4	5.18	5.98	9.25	0.95	-3.12	-5.97	6.82	-9.07	0.25	3.05	6.83	6.84	-1.23	8.17	-2.3	4.24	8.75	-9.73	-4.61	-2.6	9.64	-2.84	-3.4	-7.8	-0.1	-7.71	5.52	-3.54	4.03	0.14	2.68	-9.47	-3.54	-9.14	6.17	-1.48
x36	-3.15	-7.33	-4.18	0.27	7.8	-0.02	8.92	7.92	-9.17	-2.46	-7.4	-2.64	9.43	6.56	-7.64	-5.61	9.02	-2.58	8.95	8.19	-7.39	5.39	6.28	0.68	8.69	-9.21	2.17	-0.78	-7.34	2.84	0.59	2.36	-2.65	-1.9	9.12	-6.56	9.23	8.22	8.56	5.39	-2.97	9.48	3.21	-8.46	-2.63	-2.9	-0.72	-8.29	7.86	-9.14	-2.73	0.86	-7.39	-4.37	-1.01	8.36	6.91	-9.94	4.6	-0.25
x37	-1.21	0.03	6.21	0.43	3.29	-5.16	9.46	-4.51	-9.56	4.83	-7.98	5.11	-9.6	-9.8	-6.71	3.18	-4.36	5.73	-3.03	1.59	0.5	-8.54	-1.81	-0.65	-6.95	2.96	7.77	5.96	-5.59	2.89	-7.68	-8.11	4.46	-0.27	-4.37	9.61	9.95	-1.99	-9.71	4.34	-6.59	5.39	7.3	-6.61	-2.76	1.28	8.69	7.15	1.19	0.52	3.5	7.98	-9.59	-0.19	-1.24	-9.82	-4.37	-4.97	5.32	-8.84
x38	-4.52	5.94	6.55	2.79	1.89	-5.16	3.01	-6.18	2.11	4.83	8.3	5.11	9.03	-4.49	2.97	3.18	6.89	5.73	-8.12	1.59	0.5	9.95	-8.3	9	-6.95	0.01	3.42	5.96	-4.66	2.29	-7.68	1.31	-9.67	0.16	-8.54	9.61	-1.46	-8.74	-8.24	3.95	-6.59	5.39	8.47	-1.61	-2.76	1.28	-5.95	-5.94	2.91	0.52	3.5	7.98	-9.59	-1.62	2.05	-6.05	-0.78	-5.76	5.32	-2.32
x39	-1.75	-9.69	-0.89	2.65	9.69	-3.11	0.91	4.72	-8.67	-2.91	7.86	2.77	-2.2	9.32	4.68	4.75	3.74	-8.62	-7.95	4.34	1.71	3.09	2.92	-1.61	6.84	1.52	8.87	-3.54	2.49	8.22	1.81	-0.18	3.5	3.76	-7.37	-3.91	-5.85	8.92	0.06	9.39	-1.9	-3.27	1.38	7.41	-5.91	-5.54	-9.16	-1.23	-0.44	-2.89	5.23	-8.26	-5.62	9.48	2.45	5.64	6.83	7.57	2.97	9.44
x40	-9.85	-1.33	3.16	3.82	7.55	-1.51	-2.63	-3.45	5.09	2.53	0.64	9.96	9.93	4.37	8.58	-8.74	-8.43	6.85	-6.46	1.11	4.95	-1.46	8.48	0.52	4.33	-3.59	-8.75	-0.11	8.64	-0.78	9.28	7.36	-2.79	-7.58	-4.98	4.15	1.87	-5.29	-9.82	7.76	-4.28	-1.26	3.93	0.44	2.25	-5.93	-6.1	0.02	-0.88	9.25	1.99	-7.03	-9.58	-8.44	-2.51	-4.72	8.15	-2.02	-1.22	-4.07
x41	-0.54	-0.89	2.11	9.82	-0.63	-1.31	0.83	2.06	0.63	5.97	-8.37	4.38	-7.97	5.51	-3.9	5.31	4.25	9.47	-5.29	0.96	-1.24	-8.69	-1.32	0.59	-0.99	6.41	-9.76	-7.61	-4.29	5.42	6.13	8.4	-1.66	-1.24	0.85	5.28	-6.51	-2.7	6.54	-2.73	7.4	-6.76	4.21	1.48	-5.21	-2.09	-2.16	1.94	9.02	-1.4	-3.01	8.59	9.62	-4.72	6.33	0.05	-7.67	9.94	-8.84	-5.08
x42	4.35	6.09	-3.1	-4.59	-7.57	-5.16	-5.85	7.42	9.2	4.83	5.47	5.11	9.68	-7.82	0.57	3.18	-5.33	5.73	-4.5	1.59	0.5	-4.44	-9.49	4.03	-6.95	-3.6	2.75	5.96	-3.35	2.13	-7.68	5.73	-3.54	-1.22	-8.06	9.61	6.63	-4.11	-6.63	9.68	-6.59	5.39	7.65	5.53	-2.76	1.28	1.28	6	2.47	0.52	3.5	7.98	-9.59	-5.11	-2.89	-6.79	6.35	2.33	5.32	-4.55
x43	-1.75	0.7	-0.89	-1.66	9.69	6.44	-0.14	7.54	-8.67	7.29	7.86	-3.79	-2.2	-6.5	-4.13	2.53	-1.82	7.05	-7.95	-8.4	5.32	2.59	-0.86	-1.61	-9.81	1.52	8.87	6.02	-6.28	7.08	4.17	-6.22	9.83	3.76	-7.37	-8.11	-5.85	8.92	-3.56	9.39	0.37	-2.56	-9.6	-1.03	7.87	1.26	-9.16	-0.76	-0.44	-0.3	-8.68	6.34	-8.82	9.48	2.45	-7.54	1.35	2.37	2.18	9.44
x44	4.36	-0.3	-8.92	9.33	2.85	0.78	7.6	4.46	1.1	6.26	-6.34	-4.26	3.96	6.44	6.91	0.85	9.66	2.17	-6.12	8.78	2.26	-5.99	-3.51	5.02	-1.33	-8.3	1.86	-5.23	-9.15	-3.83	3.62	2.18	8.24	-1.19	-1.05	-9.5	-1.36	8.36	0.46	-2.92	6.7	-5.7	-5.78	-9.49	-1.58	7.68	6.32	-7.41	-2.86	5.03	8.83	7.1	2.27	-0.83	3.41	-0.6	-4.96	-7.96	5.54	-3.96
x45	-2.17	8.63	-4.25	2.15	2.82	9.08	5.66	5.69	3.98	5.99	5.9	-7.66	-7.53	-1.81	0.65	-7.39	9.35	8.6	9.48	3.52	-7.8	4.11	-9.38	-8.63	2.33	-1.72	-7.91	9.05	-1.94	-6.12	7.12	-8.31	5.93	-8.42	-1.57	7.95	-3.26	-6.33	2.35	0.47	-3.88	7.14	8.4	8.98	-9.67	-0.92	-7.91	-8.07	7.17	-0.56	0.01	8.72	-0.72	0.79	4.67	-6.47	-7.66	-6.95	3.7	3.62
x46	-1.75	4.35	-0.89	-7.8	9.69	-6.8	0.69	-6.27	-8.67	-3.56	7.86	-2	-2.2	1.77	-6.17	-9.5	-6.69	-1.91	-7.95	-0.53	-0.38	1.23	4.54	-1.61	6.73	1.52	8.87	8.14	-6.28	-9.47	-7.94	4.7	-1.05	3.76	-7.37	-6.41	-5.85	8.92	8.28	9.39	-4.07	-8.14	-8.79	-3.81	3.38	-7.93	-9.16	3.64	-0.44	-1.53	4.87	-8.19	0.32	9.48	2.45	-0.41	0.78	-4.74	6.36	9.44
x47	-0.09	-2.09	6.85	-8.22	5.5	9.51	0.39	-4.24	-4.26	8.57	-6.13	-8.81	0.23	3.2	4.99	-9.53	-6.11	8.04	-8.09	-7.42	4.21	3.7	-9.82	-6.57	-1.51	7.19	2.1	7.22	0.33	0.97	-1.85	-5.87	-5.41	5.38	-8.81	2.07	-2.22	9.92	3.71	4.02	-2.94	2.59	6.14	-9.09	-4.96	-6.79	-0.22	0.38	-0.14	-3.48	-8.23	6.06	-9.37	4.29	1.64	-0.97	6.55	-8.74	8.91	3.42
x48	-5.06	5.94	9.7	2.79	-0.44	-5.16	3.01	-6.18	1.32	4.83	8.12	5.11	9.3	-4.49	2.97	3.18	6.89	5.73	-4.66	1.59	0.5	9.95	-8.3	-1	-6.95	1.81	-5.11	5.96	-4.66	2.29	-7.68	1.31	-9.67	-5.27	5.74	9.61	-0.84	3.37	-8.24	-3.45	-6.59	5.39	8.47	-1.61	-2.76	1.28	-0.48	-5.94	3.25	0.52	3.5	7.98	-9.59	2.53	-1.86	-6.05	-0.78	-5.76	5.32	-0.4
x49	8.38	9.91	-1.04	-4.84	-4	-5.16	-2.34	-2.78	-8.92	4.83	4.43	5.11	-9.44	2.47	7.38	3.18	-6.77	5.73	-1.34	1.59	0.5	0.06	7.18	3.17	-6.95	-6.36	-5.04	5.96	9.48	0.03	-7.68	-1.76	-8.18	7.77	7.29	9.61	-7.97	-4.34	3.11	-3.84	-6.59	5.39	3.6	3.33	-2.76	1.28	-8.63	-5.68	-0.93	0.52	3.5	7.98	-9.59	-0	-1.74	-5.36	9.89	-3.63	5.32	-7.25
